Transaction_ID,Station_ID,Zone,Charging_Duration_Mins,Energy_Consumed_kWh,Total_Amount_INR,Payment_Method,Transaction_Status,Timestamp
EV_TXN_8060,STN_104,West Zone - Highway Corridor,42,9.82,,,SUCCESS,2026-08-13 17:49:22
EV_TXN_8061,STN_110,South Zone - Residential,172,54.16,812.4,Mobile Wallet,SUCCESS,2026-08-04 20:16:22
EV_TXN_8062,STN_107,South Zone - Residential,27,6.79,101.85,Mobile Wallet,CHARGER_FAULT,2026-08-03 18:53:22
EV_TXN_8063,STN_101,Central Zone - Metro Station,163,55.05,825.75,Mobile Wallet,SUCCESS,2026-08-18 15:22:22
EV_TXN_8064,STN_114,North Zone - Tech Park,39,12.46,186.9,,CHARGER_FAULT,2026-08-01 15:20:22
EV_TXN_8065,STN_110,Central Zone - Metro Station,55,11.25,168.75,,FAILED_PAYMENT,2026-08-07 04:19:22
EV_TXN_8066,STN_112,North Zone - Tech Park,139,30.62,459.3,Mobile Wallet,SUCCESS,2026-08-13 19:28:22
EV_TXN_8067,STN_109,Central Zone - Metro Station,97,32.09,481.35,Credit Card,SUCCESS,2026-08-02 03:31:22
EV_TXN_8068,STN_104,South Zone - Residential,108,25.23,378.45,Mobile Wallet,SUCCESS,2026-08-15 16:43:22
EV_TXN_8069,STN_110,South Zone - Residential,169,47.13,706.95,Mobile Wallet,SUCCESS,2026-08-13 19:52:22
EV_TXN_8070,STN_102,North Zone - Tech Park,106,42.25,,RFID Card,SUCCESS,2026-08-15 17:58:22
EV_TXN_8071,STN_113,South Zone - Residential,55,18.31,274.65,RFID Card,FAILED_PAYMENT,2026-08-03 03:09:22
EV_TXN_8072,STN_113,East Zone - Commercial Hub,24,9.25,138.75,,SUCCESS,2026-08-21 03:12:22
EV_TXN_8073,STN_113,West Zone - Highway Corridor,19,4.98,74.7,UPI / QR,CHARGER_FAULT,2026-08-07 18:16:22
EV_TXN_8074,STN_113,Central Zone - Metro Station,28,5.87,88.05,Mobile Wallet,FAILED_PAYMENT,2026-08-12 17:10:22
EV_TXN_8075,STN_103,Central Zone - Metro Station,131,33.3,499.5,UPI / QR,FAILED_PAYMENT,2026-08-11 18:05:22
EV_TXN_8076,STN_113,East Zone - Commercial Hub,70,20.58,308.7,Credit Card,CHARGER_FAULT,2026-08-04 15:56:22
EV_TXN_8077,STN_109,North Zone - Tech Park,23,5.15,77.25,UPI / QR,FAILED_PAYMENT,2026-08-20 17:17:22
EV_TXN_8078,STN_105,South Zone - Residential,86,21.45,321.75,Mobile Wallet,SUCCESS,2026-08-18 02:58:22
EV_TXN_8079,STN_112,South Zone - Residential,178,65.97,989.55,Mobile Wallet,CHARGER_FAULT,2026-08-14 18:17:22
EV_TXN_8080,STN_114,South Zone - Residential,22,7.98,,UPI / QR,SUCCESS,2026-08-14 20:10:22
EV_TXN_8081,STN_113,South Zone - Residential,74,18.52,277.8,UPI / QR,SUCCESS,2026-08-09 18:41:22
EV_TXN_8082,STN_109,West Zone - Highway Corridor,112,30.84,462.6,,SUCCESS,2026-08-05 17:58:22
EV_TXN_8083,STN_109,East Zone - Commercial Hub,30,10.69,160.35,RFID Card,SUCCESS,2026-08-19 06:39:22
EV_TXN_8084,STN_101,Central Zone - Metro Station,107,40.23,603.45,Mobile Wallet,CHARGER_FAULT,2026-08-18 00:49:22
EV_TXN_8085,STN_110,North Zone - Tech Park,139,38.68,580.2,Mobile Wallet,CHARGER_FAULT,2026-08-21 04:58:22
EV_TXN_8086,STN_115,South Zone - Residential,22,8.37,125.55,UPI / QR,SUCCESS,2026-08-13 01:17:22
EV_TXN_8087,STN_108,East Zone - Commercial Hub,80,22.73,340.95,,SUCCESS,2026-08-07 17:17:22
EV_TXN_8088,STN_112,East Zone - Commercial Hub,121,44.9,673.5,Mobile Wallet,SUCCESS,2026-08-02 04:26:22
EV_TXN_8089,STN_102,Central Zone - Metro Station,98,35.43,531.45,,CHARGER_FAULT,2026-08-04 23:40:22
EV_TXN_8090,STN_102,East Zone - Commercial Hub,99,32.62,,,SUCCESS,2026-08-02 17:09:22
EV_TXN_8091,STN_105,North Zone - Tech Park,129,33.0,495.0,UPI / QR,SUCCESS,2026-08-14 16:52:22
EV_TXN_8092,STN_111,Central Zone - Metro Station,94,29.02,435.3,UPI / QR,SUCCESS,2026-08-17 18:35:22
EV_TXN_8093,STN_114,Central Zone - Metro Station,157,51.77,776.55,Credit Card,SUCCESS,2026-08-18 16:48:22
EV_TXN_8094,STN_107,West Zone - Highway Corridor,128,39.34,590.1,UPI / QR,FAILED_PAYMENT,2026-08-16 00:53:22
EV_TXN_8095,STN_111,East Zone - Commercial Hub,30,8.13,121.95,,SUCCESS,2026-08-11 04:19:22
EV_TXN_8096,STN_103,West Zone - Highway Corridor,100,22.7,340.5,RFID Card,CHARGER_FAULT,2026-08-18 03:02:22
EV_TXN_8097,STN_101,Central Zone - Metro Station,86,26.89,403.35,Mobile Wallet,SUCCESS,2026-08-13 20:04:22
EV_TXN_8098,STN_112,East Zone - Commercial Hub,88,28.27,424.05,RFID Card,SUCCESS,2026-08-16 15:27:22
EV_TXN_8099,STN_112,North Zone - Tech Park,92,22.19,332.85,,SUCCESS,2026-08-11 19:11:22
EV_TXN_8100,STN_115,North Zone - Tech Park,76,15.91,,Mobile Wallet,FAILED_PAYMENT,2026-08-08 20:21:22
EV_TXN_8101,STN_104,Central Zone - Metro Station,65,18.06,270.9,Credit Card,SUCCESS,2026-08-04 00:51:22
EV_TXN_8102,STN_109,West Zone - Highway Corridor,103,30.79,461.85,Credit Card,SUCCESS,2026-08-20 17:26:22
EV_TXN_8103,STN_114,West Zone - Highway Corridor,106,29.8,447.0,UPI / QR,FAILED_PAYMENT,2026-08-03 04:16:22
EV_TXN_8104,STN_112,North Zone - Tech Park,155,56.45,846.75,,SUCCESS,2026-08-13 06:20:22
EV_TXN_8105,STN_103,Central Zone - Metro Station,86,17.32,259.8,Mobile Wallet,SUCCESS,2026-08-13 23:25:22
EV_TXN_8106,STN_106,North Zone - Tech Park,105,36.58,548.7,Credit Card,SUCCESS,2026-08-05 16:23:22
EV_TXN_8107,STN_109,Central Zone - Metro Station,150,33.82,507.3,Mobile Wallet,FAILED_PAYMENT,2026-08-02 01:32:22
EV_TXN_8108,STN_103,East Zone - Commercial Hub,139,29.55,443.25,UPI / QR,SUCCESS,2026-08-10 20:18:22
EV_TXN_8109,STN_113,North Zone - Tech Park,151,37.18,557.7,Mobile Wallet,SUCCESS,2026-08-03 04:24:22
EV_TXN_8110,STN_106,North Zone - Tech Park,66,25.66,,RFID Card,SUCCESS,2026-08-09 18:02:22
EV_TXN_8111,STN_102,Central Zone - Metro Station,119,41.94,629.1,RFID Card,FAILED_PAYMENT,2026-08-04 01:33:22
EV_TXN_8112,STN_103,East Zone - Commercial Hub,81,20.15,302.25,Credit Card,CHARGER_FAULT,2026-08-06 17:30:22
EV_TXN_8113,STN_108,South Zone - Residential,22,7.51,112.65,Credit Card,SUCCESS,2026-08-06 05:21:22
EV_TXN_8114,STN_106,Central Zone - Metro Station,87,34.22,513.3,Credit Card,SUCCESS,2026-08-09 15:41:22
EV_TXN_8115,STN_102,Central Zone - Metro Station,40,11.53,172.95,Credit Card,SUCCESS,2026-08-17 23:37:22
EV_TXN_8116,STN_108,East Zone - Commercial Hub,77,19.29,289.35,Credit Card,SUCCESS,2026-08-11 03:08:22
EV_TXN_8117,STN_108,East Zone - Commercial Hub,104,40.89,613.35,Mobile Wallet,SUCCESS,2026-08-18 01:04:22
EV_TXN_8118,STN_103,South Zone - Residential,117,31.93,478.95,Mobile Wallet,SUCCESS,2026-08-09 06:37:22
EV_TXN_8119,STN_113,North Zone - Tech Park,74,15.56,233.4,,SUCCESS,2026-08-10 20:10:22
EV_TXN_8120,STN_105,Central Zone - Metro Station,159,41.41,,Credit Card,FAILED_PAYMENT,2026-08-11 17:52:22
